2025-08-09 21:27:59,480 - INFO - Starting library refactoring from data\full_library to data\full_library_clean
2025-08-09 21:27:59,482 - INFO - Processed: AARON, Rachel - La légende d'Eli Monpress - Tome 1 - Le voleur aux esprits - Rachel Aaron
2025-08-09 21:27:59,483 - INFO - Processed: AARON, Rachel - La légende d'Eli Monpress - Tome 2 - La rebellion des esprits - Rachel Aaron
2025-08-09 21:27:59,484 - INFO - Processed: AARONOVITCH, Ben - Le dernier apprenti sorcier - Tome 1 - Les rivieres de Londres - Ben Aaronovitch
2025-08-09 21:27:59,485 - INFO - Processed: AARONOVITCH, Ben - Le dernier apprenti sorcier - Tome 2 - Magie noire à Soho - Ben Aaronovitch
2025-08-09 21:27:59,486 - INFO - Processed: AARONOVITCH, Ben - Le dernier apprenti sorcier - Tome 3 - Murmures souterrains - Ben Aaronovitch
2025-08-09 21:27:59,488 - INFO - Processed: ABALOS, Rafael - Gotico - Rafael Abalos
2025-08-09 21:27:59,489 - INFO - Processed: ABBOTT, Jeff - Panique - Jeff Abbott
2025-08-09 21:27:59,490 - INFO - Processed: ABE, Shana - Drakkons - Tome 1 - Le voleur de diamants - Shana Abé
2025-08-09 21:27:59,491 - INFO - Processed: ABE, Shana - Drakkons - Tome 2 - Le diamant maudit - Shana Abé
2025-08-09 21:27:59,491 - INFO - Processed: ABE, Shana - Drakkons - Tome 3 - La reine des dragons - Shana Abé
2025-08-09 21:27:59,492 - INFO - Processed: ABE, Shana - La destinee de Kyla - Shana Abe
2025-08-09 21:27:59,493 - INFO - Processed: ABE, Shana - La promise du clan Kincardine - Shana Abe
2025-08-09 21:27:59,493 - INFO - Processed: ABE, Shana - La rebelle du clan MacRae - Shana Abe
2025-08-09 21:27:59,494 - INFO - Processed: ABECASSIS, Agnès - Chouette, une ride ! - Agnes Abecassis
2025-08-09 21:27:59,495 - INFO - Processed: ABECASSIS, Agnès - Le théorème de cupidon - Agnes Abecassis
2025-08-09 21:27:59,496 - INFO - Processed: ABECASSIS, Agnès - Toubib or not toubib - Agnes Abecassis
2025-08-09 21:27:59,497 - INFO - Processed: ABECASSIS, Eliette - Et te voici permise à tout homme - Eliette Abecassis
2025-08-09 21:27:59,497 - INFO - Processed: ABECASSIS, Eliette - Le palimpseste d'Archimede - Eliette Abecassis
2025-08-09 21:27:59,498 - INFO - Processed: ABEDI, Isabel - Voici Lola - Tome 1 - Isabel Abedi
2025-08-09 21:27:59,500 - INFO - Processed: ABEL, Barbara - Derriere la haine - Barbara Abel
2025-08-09 21:27:59,501 - INFO - Processed: ABERCROMBIE, Joe - La premiere loi - Tome 1 - Premier sang - Joe Abercrombie
2025-08-09 21:27:59,502 - INFO - Processed: ABERCROMBIE, Joe - La premiere loi - Tome 2 - Deraison et sentiments - Joe Abercrombie
2025-08-09 21:27:59,505 - INFO - Processed: ABERCROMBIE, Joe - La premiere loi - Tome 3 - Derniere querelle - Joe Abercrombie
2025-08-09 21:27:59,506 - INFO - Processed: ABERCROMBIE, Joe - Servir froid - Joe Abercrombie
2025-08-09 21:27:59,507 - INFO - Processed: ABIGAEL - Deviens comme je suis
2025-08-09 21:27:59,508 - INFO - Processed: ABLOW, Keith - L'amour a mort - Keith Ablow
2025-08-09 21:27:59,509 - INFO - Processed: ABOTT, Keith - Brautigan, un reveur a Babylone - Keith Abott
2025-08-09 21:27:59,510 - INFO - Processed: ABOUT, Edmond - L'homme a l'oreille cassee - Edmond About
2025-08-09 21:27:59,511 - INFO - Processed: ABOUT, Edmond - Le roi des montagnes - Edmond About
